[1:000050]	 MAIN	Start main process
[1:360338]	 EXCV	Executive sleeps

[1:360372]	 TSK0	Execution started
[1:368439]	 TSK0	Execution stopped
[1:368442]	 TSK1	Execution started
[1:386161]	 TSK1	Execution stopped
[1:386164]	 TSK4	Execution started
[1:394043]	 TSK4	Execution stopped

[1:400323]	 EXCV	Executive wakes up
[1:400327]	 EXCV	Checking deadline miss
[1:400328]	 EXCV	Ap task request detected
[1:400331]	 EXCV	Begin frame 0
[1:400336]	 EXCV	Signal on task 0
[1:400338]	 EXCV	Signal on task 1
[1:400340]	 EXCV	Signal on task 2
[1:400340]	 EXCV	Executive sleeps

[1:400344]	 TSK0	Execution started
[1:408431]	 TSK0	Execution stopped
[1:408434]	 TSK1	Execution started
[1:426156]	 TSK1	Execution stopped
[1:426159]	 TSK2	Execution started
[1:434041]	 TSK2	Execution stopped
[1:434044]	 APER	Aperiodic execution started

[1:440231]	 EXCV	Executive wakes up
[1:440232]	 EXCV	Checking deadline miss
[1:440233]	 EXCV	Begin frame 1
[1:440235]	 EXCV	Signal on task 0
[1:440237]	 EXCV	Signal on task 3
[1:440237]	 EXCV	Executive sleeps

[1:440239]	 TSK0	Execution started
[1:448118]	 TSK0	Execution stopped
[1:448122]	 TSK3	Execution started
[1:474703]	 TSK3	Execution stopped

[1:480232]	 EXCV	Executive wakes up
[1:480233]	 EXCV	Checking deadline miss
[1:480234]	 EXCV	Begin frame 2
[1:480237]	 EXCV	Signal on task 0
[1:480238]	 EXCV	Signal on task 1
[1:480238]	 EXCV	Executive sleeps

[1:480240]	 TSK0	Execution started
[1:488129]	 TSK0	Execution stopped
[1:488132]	 TSK1	Execution started
[1:505869]	 TSK1	Execution stopped

[1:520235]	 EXCV	Executive wakes up
[1:520238]	 EXCV	Checking deadline miss
[1:520239]	 EXCV	Ap task request detected
[1:520239]	 EXCV	Ap task DEADLINE MISS DETECTED. Aborting new execution
[1:520241]	 EXCV	Begin frame 3
[1:520245]	 EXCV	Signal on task 0
[1:520247]	 EXCV	Signal on task 1
[1:520248]	 EXCV	Executive sleeps

[1:520250]	 TSK0	Execution started
[1:528211]	 TSK0	Execution stopped
[1:528218]	 TSK1	Execution started
[1:546031]	 TSK1	Execution stopped
[1:550453]	 APER	Aperiodic execution stopped

[1:560265]	 EXCV	Executive wakes up
[1:560268]	 EXCV	Checking deadline miss
[1:560270]	 EXCV	Begin frame 4
[1:560275]	 EXCV	Signal on task 0
[1:560277]	 EXCV	Signal on task 1
[1:560279]	 EXCV	Signal on task 4
[1:560279]	 EXCV	Executive sleeps

[1:560283]	 TSK0	Execution started
[1:568444]	 TSK0	Execution stopped
[1:568448]	 TSK1	Execution started
[1:586275]	 TSK1	Execution stopped
[1:586283]	 TSK4	Execution started
[1:594166]	 TSK4	Execution stopped

[1:600313]	 EXCV	Executive wakes up
[1:600317]	 EXCV	Checking deadline miss
[1:600319]	 EXCV	Begin frame 0
[1:600324]	 EXCV	Signal on task 0
[1:600326]	 EXCV	Signal on task 1
[1:600328]	 EXCV	Signal on task 2
[1:600329]	 EXCV	Executive sleeps

[1:600332]	 TSK0	Execution started
[1:608393]	 TSK0	Execution stopped
[1:608397]	 TSK1	Execution started
[1:626107]	 TSK1	Execution stopped
[1:626110]	 TSK2	Execution started
[1:633980]	 TSK2	Execution stopped

[1:640313]	 EXCV	Executive wakes up
[1:640316]	 EXCV	Checking deadline miss
[1:640317]	 EXCV	Ap task request detected
[1:640321]	 EXCV	Begin frame 1
[1:640325]	 EXCV	Signal on task 0
[1:640327]	 EXCV	Signal on task 3
[1:640328]	 EXCV	Executive sleeps

[1:640331]	 TSK0	Execution started
[1:648657]	 TSK0	Execution stopped
[1:648663]	 TSK3	Execution started
[1:675219]	 TSK3	Execution stopped
[1:675222]	 APER	Aperiodic execution started

[1:680232]	 EXCV	Executive wakes up
[1:680233]	 EXCV	Checking deadline miss
[1:680234]	 EXCV	Begin frame 2
[1:680238]	 EXCV	Signal on task 0
[1:680240]	 EXCV	Signal on task 1
[1:680240]	 EXCV	Executive sleeps

[1:680242]	 TSK0	Execution started
[1:688115]	 TSK0	Execution stopped
[1:688117]	 TSK1	Execution started
[1:705844]	 TSK1	Execution stopped

[1:720231]	 EXCV	Executive wakes up
[1:720231]	 EXCV	Checking deadline miss
[1:720232]	 EXCV	Begin frame 3
[1:720233]	 EXCV	Signal on task 0
[1:720234]	 EXCV	Signal on task 1
[1:720234]	 EXCV	Executive sleeps

[1:720236]	 TSK0	Execution started
[1:728099]	 TSK0	Execution stopped
[1:728100]	 TSK1	Execution started
[1:745781]	 TSK1	Execution stopped
[1:755885]	 APER	Aperiodic execution stopped
